Champion,Picks,Bans,PrioScore,Wins,Losses,Winrate,KDA,Avg BT,Avg RP,BP%,GT,CSM,DPM,GPM,CSD@15,GD@15,XPD@15
Xayah,2,1,4%,2,0,100%,-,8,3.5,50,28:10:00,11.4,754,514,13.5,-194,422
Lux,1,0,1%,0,1,0%,-,-,2,0,29:47:00,0.9,334,257,-9,787,471
Twisted Fate,2,7,20%,2,0,100%,15,5.9,1,0,26:13:00,10.6,421,525,11.5,1408,261
Pantheon,9,13,41%,8,1,89%,14.1,3.4,2,33.3,29:11:00,7.1,646,429,-6.7,406,-91
Orianna,4,33,81%,4,0,100%,13.5,2.1,1.25,100,28:42:00,9.7,793,452,27.8,813,390
Anivia,2,0,1%,1,1,50%,8.5,-,3,0,32:36:00,5.2,459,327,-7,-491,-42
Miss Fortune,4,0,6%,3,1,75%,8.4,-,2,25,30:36:00,10.7,848,519,3.2,-326,-149
Yuumi,1,0,1%,0,1,0%,7.5,-,3,0,33:06:00,0.4,361,286,-8,202,581
Karma,5,25,64%,4,1,80%,7.3,3,1.6,100,28:14:00,1.2,277,279,3.2,300,79
Akali,4,14,34%,3,1,75%,6.7,6.5,3,75,31:15:00,9.1,769,455,-3.8,394,424
Shen,4,0,5%,4,0,100%,6.3,-,2.25,25,32:37:00,4.9,575,371,1,-14,308
Braum,3,2,7%,3,0,100%,6.2,8,2.33,33.3,32:05:00,0.8,181,275,-6.7,619,-122
Sivir,6,4,15%,3,3,50%,5.8,8.3,2.5,0,31:08:00,10.6,817,497,-12.7,-73,-408
Viktor,5,2,10%,3,2,60%,5.6,9.5,2.8,40,33:12:00,9.2,876,414,-5,-199,108
Sion,9,1,13%,5,4,56%,5.5,10,2.22,44.4,31:31:00,8.7,545,365,-0.3,-216,194
Yorick,3,0,4%,3,0,100%,5.3,-,2.67,33.3,33:31:00,8.6,621,433,-5,213,-117
Jhin,4,3,10%,1,3,25%,5.2,9,3.5,25,34:07:00,9.9,576,439,-25.8,-1332,-554
Ornn,5,0,7%,2,3,40%,5.1,-,2.2,0,29:49:00,7.8,514,352,-8.4,-494,13
Jinx,3,0,3%,2,1,67%,5,-,2.67,0,30:38:00,9.6,860,489,-4.3,-630,-675
Morgana,1,0,0%,1,0,100%,4.8,-,5,0,34:15:00,6.9,547,380,2,508,481
Senna,2,0,3%,0,2,0%,4.7,-,2,0,34:55:00,8.9,824,436,-12.5,-614,-778
Naafiri,3,0,3%,1,2,33%,4.6,-,2,0,28:52:00,7,553,411,2.7,-357,-97
Malphite,1,2,6%,1,0,100%,4.5,8.5,2,0,41:02:00,7.1,300,383,10,222,745
Ashe,10,7,31%,6,4,60%,4.5,3.6,1.8,70,31:58:00,10,723,477,3.8,358,283
Poppy,8,5,20%,4,4,50%,4.4,4.4,2.88,12.5,32:23:00,5.4,432,354,-3.2,121,-110
Jarvan IV,10,14,48%,5,5,50%,4.1,3.9,1.6,60,30:13:00,6.7,461,386,1.2,-25,170
Thresh,3,0,2%,1,2,33%,4.1,-,3.33,33.3,32:37:00,1.3,154,258,8.3,231,105
Lulu,9,7,27%,5,4,56%,4,4,2.22,77.8,28:16:00,1,227,270,2.4,24,360
Xin Zhao,11,10,41%,8,3,73%,3.8,5.1,1.82,54.5,29:48:00,7.5,509,405,-1.4,15,182
Mel,7,4,16%,5,2,71%,3.8,7.8,2.57,42.9,31:36:00,9.1,886,435,6.4,148,-37
Bard,4,12,34%,3,1,75%,3.7,6,1.25,50,31:05:00,0.9,302,281,-9.2,-39,40
Corki,10,0,12%,6,4,60%,3.7,-,2.3,70,31:38:00,10,774,489,6.7,282,159
Rakan,9,5,21%,4,5,44%,3.7,8.4,2.78,44.4,29:47:00,0.9,172,265,-1.3,-278,-377
Ahri,12,5,28%,5,7,42%,3.7,8.4,1.92,66.7,28:54:00,9.5,714,438,4.8,382,109
Yunara,13,5,28%,9,4,69%,3.6,8,2.15,69.2,28:52:00,10.5,741,490,4.1,297,385
Ryze,3,34,80%,2,1,67%,3.6,4.7,2,100,31:54:00,9.3,644,428,4,519,357
Caitlyn,6,3,12%,3,3,50%,3.6,4.3,3.17,50,29:23:00,10,750,516,4.8,501,1
Wukong,6,3,11%,2,4,33%,3.6,8.7,3,50,31:05:00,7.1,408,395,1.5,92,158
Camille,2,0,1%,2,0,100%,3.5,-,4.5,0,30:25:00,5.8,523,389,17,436,88
