Game,Team,Champion,Player,Role,Level,Kills,Deaths,Assists,CS,CS in Team's Jungle,CS in Enemy Jungle,CSM,Golds,GPM,GOLD%,Vision Score,Wards placed,Wards destroyed,Control Wards Purchased,Detector Wards Placed,VSPM,WPM,VWPM,WCPM,VS%,Total damage to Champion,Physical Damage,Magic Damage,True Damage,DPM,DMG%,K+A Per Minute,KP%,Solo kills,Double kills,Triple kills,Quadra kills,Penta kills,GD@15,CSD@15,XPD@15,LVLD@15,Objectives Stolen,Damage dealt to turrets,Damage dealt to buildings,Total heal,Total Heals On Teammates,Damage self mitigated,Total Damage Shielded On Teammates,Time ccing others,Total Time CC Dealt,Total damage taken,Total Time Spent Dead,Consumables purchased,Items Purchased,Shutdown bounty collected,Shutdown bounty lost,
1,BLG,Ambessa,Bin,TOP,20,10,1,3,322,8,,9.8,16663,507,24.50%,34,10,2,4,4,1.03,0.3,0.12,0.06,9.70%,30652,29472,1124,56,932,28.70%,0.4,81%,1,0,1,0,0,542,19,85,0,0,8590,8590,9019,0,43939,0,10,265,25878,28,5,24,0,0,0
1,BLG,Xin Zhao,XUN,JUNGLE,17,0,1,9,266,243,,8.1,12967,394,19.00%,54,12,9,10,9,1.64,0.36,0.3,0.27,15.30%,17714,16949,570,195,539,16.60%,0.27,56%,,0,0,0,0,-161,-5,619,0,0,5844,5844,27041,0,29989,0,22,800,38026,42,11,33,0,145,353
1,BLG,Galio,Knight,MID,17,4,2,5,267,0,,8.1,12605,383,18.50%,40,13,7,7,6,1.22,0.4,0.21,0.21,11.40%,19141,177,18964,0,582,18%,0.27,56%,,0,0,0,0,665,-6,145,0,0,3465,3465,3548,0,34103,1716,28,108,23717,90,9,28,0,327,4
1,BLG,Ashe,Viper,ADC,17,2,1,10,337,12,,10.2,16577,504,24.40%,67,22,20,10,10,2.04,0.67,0.3,0.61,19.00%,34311,32087,1597,627,1043,32.10%,0.36,75%,,0,0,0,0,564,25,811,1,0,4795,4795,8359,0,10008,0,78,1194,18001,0,13,33,0,678,600
1,BLG,Shen,ON,SUPPORT,13,0,3,10,51,0,,1.6,9265,282,13.60%,157,73,24,24,23,4.77,2.22,0.73,0.73,44.60%,4963,2913,1930,120,151,4.60%,0.3,63%,,0,0,0,0,-132,4,48,0,0,3145,3145,4745,428,26478,2985,24,124,18484,26,27,47,0,0,29
1,G2,Poppy,Brokenblade,TOP,18,2,4,3,277,0,,8.4,11562,352,20%,46,14,4,5,4,1.4,0.43,0.15,0.12,13.50%,24799,19760,4698,341,754,27.70%,0.15,62.50%,1,0,0,0,0,-542,-19,-85,0,0,3829,3829,10636,0,74244,0,59,926,43560,130,6,27,145,0,0
1,G2,Vi,SkewMond,JUNGLE,15,2,3,3,241,213,,7.3,11685,355,20.50%,72,10,21,9,8,2.19,0.3,0.27,0.64,21.20%,10152,9891,0,261,309,11.30%,0.15,62.50%,,0,0,0,0,161,5,-619,0,0,0,0,11405,0,35334,0,16,345,26762,86,10,29,327,0,176
1,G2,Annie,Caps,MID,16,2,4,2,288,0,,8.8,12238,372,21.50%,42,13,7,5,4,1.28,0.4,0.15,0.21,12.40%,21940,2163,18758,1019,667,24.50%,0.12,50.00%,1,0,0,0,0,-665,6,-145,0,0,4019,4019,3145,0,13685,691,47,377,17490,157,8,23,678,0,21
1,G2,Senna,Hans Sama,ADC,15,2,2,3,290,4,,8.8,13953,424,24.50%,46,13,17,8,6,1.4,0.4,0.24,0.52,13.50%,28420,25619,1885,916,864,31.70%,0.15,62.50%,,0,0,0,0,-564,-25,-811,-1,0,2953,2953,12133,3560,8223,2127,52,434,16614,44,10,27,0,0,0
1,G2,Nautilus,Labrov,SUPPORT,12,0,3,5,37,0,,1.1,7609,231,13.30%,134,65,15,13,15,4.08,1.98,0.4,0.46,39.40%,4278,1137,3125,16,130,4.80%,0.15,62.50%,,0,0,0,0,132,-4,-48,0,0,0,0,5133,499,34421,714,58,256,21294,78,18,35,0,0,0
