Game,Team,Champion,Player,Role,Level,Kills,Deaths,Assists,CS,CS in Team's Jungle,CS in Enemy Jungle,CSM,Golds,GPM,GOLD%,Vision Score,Wards placed,Wards destroyed,Control Wards Purchased,Detector Wards Placed,VSPM,WPM,VWPM,WCPM,VS%,Total damage to Champion,Physical Damage,Magic Damage,True Damage,DPM,DMG%,K+A Per Minute,KP%,Solo kills,Double kills,Triple kills,Quadra kills,Penta kills,GD@15,CSD@15,XPD@15,LVLD@15,Objectives Stolen,Damage dealt to turrets,Damage dealt to buildings,Total heal,Total Heals On Teammates,Damage self mitigated,Total Damage Shielded On Teammates,Time ccing others,Total Time CC Dealt,Total damage taken,Total Time Spent Dead,Consumables purchased,Items Purchased,Shutdown bounty collected,Shutdown bounty lost,
1,G2,Sion,Brokenblade,TOP,18,0,0,8,282,0,,8.7,12285,381,17.90%,55,14,14,6,5,1.7,0.43,0.19,0.43,15.30%,20805,13835,6470,500,645,23.40%,0.25,50%,,0,0,0,0,22,8,57,0,0,2841,2841,7714,0,78076,0,45,529,28853,0,9,28,0,0,0
1,G2,Pantheon,SkewMond,JUNGLE,17,4,0,7,257,235,,8,13851,429,20.20%,74,12,15,9,8,2.29,0.37,0.28,0.46,20.60%,15156,13417,340,1399,470,17.10%,0.34,69%,,1,0,0,0,703,9,244,0,1,0,0,15898,0,24163,0,15,252,26761,0,10,25,0,0,353
1,G2,Aurora,Caps,MID,17,7,3,5,290,0,,9,15398,477,22.50%,38,9,7,7,5,1.18,0.28,0.22,0.22,10.60%,22185,3016,17694,1475,688,25%,0.37,75%,,1,0,0,0,167,3,225,0,0,19202,19202,3691,0,9947,0,5,229,18126,73,11,27,0,633,4
1,G2,Miss Fortune,Hans Sama,ADC,17,5,0,3,373,8,,11.6,18068,560,26.40%,51,7,19,4,3,1.58,0.22,0.12,0.59,14.20%,26933,25854,868,211,835,30.30%,0.25,50%,,1,0,0,0,704,9,586,1,0,17276,17276,3380,0,11082,0,8,156,5908,0,6,26,0,0,600
1,G2,Nautilus,Labrov,SUPPORT,13,0,1,11,30,0,,0.9,8962,278,13.10%,141,62,15,11,11,4.37,1.92,0.34,0.46,39.30%,3785,1241,2544,0,117,4.30%,0.34,69%,,0,0,0,0,335,-1,-458,0,0,1493,1493,3003,683,19284,694,35,124,8905,20,13,29,0,57,29
1,GEN,Renekton,Kiin,TOP,17,1,4,1,283,4,,8.8,11663,361,21%,42,18,3,5,5,1.3,0.56,0.15,0.09,13.40%,13859,11185,2674,0,430,26.70%,0.06,50.00%,,0,0,0,0,-22,-8,-57,0,0,3640,3640,9437,0,31863,0,25,58,34492,132,6,21,523,0,0
1,GEN,Xin Zhao,Canyon,JUNGLE,15,0,2,2,238,221,,7.4,10822,335,19.20%,51,13,11,11,9,1.58,0.4,0.34,0.34,16.30%,6839,6305,330,204,212,13.20%,0.06,50.00%,,0,0,0,0,-703,-9,-244,0,0,0,0,17719,0,20476,0,13,794,27689,32,12,31,0,0,176
1,GEN,Galio,Chovy,MID,17,1,4,2,312,0,,9.7,11897,369,21.20%,36,15,8,5,4,1.12,0.46,0.15,0.25,11.50%,15217,103,15114,0,472,29.40%,0.09,75.00%,,0,0,0,0,-167,-3,-225,0,0,7504,7504,1280,0,36194,1434,34,103,23134,124,7,27,0,0,21
1,GEN,Ashe,Ruler,ADC,15,2,3,2,335,0,,10.4,14384,446,25.60%,54,14,14,5,5,1.67,0.43,0.15,0.43,17.30%,10963,10248,480,235,340,21.20%,0.12,100.00%,,0,0,0,0,-704,-9,-586,-1,0,0,0,4811,0,10492,0,28,790,17840,59,6,29,167,0,0
1,GEN,Seraphine,Duro,SUPPORT,12,0,3,3,30,0,,0.9,7455,231,13.30%,130,67,14,9,14,4.03,2.08,0.28,0.43,41.50%,4952,851,4101,0,153,9.60%,0.09,75.00%,,0,0,0,0,-335,1,458,0,0,0,0,5965,3778,8004,4266,27,90,14347,67,19,39,0,0,0
