Game,Team,Champion,Player,Role,Level,Kills,Deaths,Assists,CS,CS in Team's Jungle,CS in Enemy Jungle,CSM,Golds,GPM,GOLD%,Vision Score,Wards placed,Wards destroyed,Control Wards Purchased,Detector Wards Placed,VSPM,WPM,VWPM,WCPM,VS%,Total damage to Champion,Physical Damage,Magic Damage,True Damage,DPM,DMG%,K+A Per Minute,KP%,Solo kills,Double kills,Triple kills,Quadra kills,Penta kills,GD@15,CSD@15,XPD@15,LVLD@15,Objectives Stolen,Damage dealt to turrets,Damage dealt to buildings,Total heal,Total Heals On Teammates,Damage self mitigated,Total Damage Shielded On Teammates,Time ccing others,Total Time CC Dealt,Total damage taken,Total Time Spent Dead,Consumables purchased,Items Purchased,Shutdown bounty collected,Shutdown bounty lost,
1,TSW,Ornn,Pun,TOP,16,1,5,6,219,0,,7.5,9635,328,18.90%,37,17,1,9,9,1.26,0.58,0.31,0.03,12.70%,15884,5337,10547,0,541,20.10%,0.24,70%,,0,0,0,0,-424,-2,160,1,0,1623,1623,5550,42,59266,0,40,477,37122,180,10,26,0,0,
1,TSW,Jarvan IV,Hizto,JUNGLE,14,3,5,6,167,162,,5.7,9814,334,19.30%,38,13,3,14,10,1.29,0.44,0.48,0.1,13%,12294,9450,1462,1382,419,15.60%,0.31,90%,,1,0,0,0,323,-11,-322,0,0,0,0,10205,0,30167,0,26,547,28733,142,16,39,2,0,
1,TSW,Aurora,Dire,MID,15,5,6,2,240,0,,8.2,11966,407,23.50%,27,7,7,3,1,0.92,0.24,0.1,0.24,9.20%,25878,2319,22390,1169,881,32.80%,0.24,70%,,0,1,0,0,-1857,-13,-560,0,0,4979,4979,5480,0,10463,0,11,240,24413,153,6,24,477,0,
1,TSW,Corki,Eddie,ADC,14,0,2,5,292,4,,9.9,12150,414,23.90%,44,11,12,3,2,1.5,0.37,0.1,0.41,15.10%,18378,12758,3629,1991,626,23.30%,0.17,50%,,0,0,0,0,-1375,-33,-1289,-1,0,1864,1864,4064,0,9479,0,0,0,17972,67,6,28,0,0,
1,TSW,Rakan,Bie,SUPPORT,11,1,4,5,34,0,,1.2,7367,251,14.50%,146,61,22,8,9,4.97,2.08,0.27,0.75,50%,6417,1506,4651,260,219,8.10%,0.2,60%,,0,0,0,0,196,7,-775,-1,0,455,455,8265,2481,20042,3115,37,135,20750,74,14,33,0,0,
1,G2,Rumble,Brokenblade,TOP,18,4,4,9,248,8,,8.4,13801,470,20.80%,41,16,1,5,5,1.4,0.54,0.17,0.03,12.90%,27430,1278,25426,726,934,24.90%,0.44,59.10%,1,1,0,0,0,424,2,-160,-1,0,4345,4345,1581,0,24181,0,21,360,17418,118,7,27,0,0,
1,G2,Vi,SkewMond,JUNGLE,17,5,1,10,239,220,,8.1,13632,464,20.50%,54,11,9,9,9,1.84,0.37,0.31,0.31,17%,18443,17783,0,660,628,16.80%,0.51,68.20%,,0,0,0,0,-323,11,322,0,0,4395,4395,18355,0,44844,0,32,415,31923,20,10,34,0,2,
1,G2,Ahri,Caps,MID,17,7,0,12,270,1,,9.2,14824,505,22.30%,46,9,13,4,4,1.57,0.31,0.14,0.44,14.50%,32514,2979,20352,9183,1107,29.60%,0.65,86.40%,1,1,0,0,0,1857,13,560,0,0,18429,18429,13208,1940,12053,0,28,115,21751,0,6,25,0,0,
1,G2,Ezreal,Hans Sama,ADC,16,4,3,6,292,12,,9.9,15132,515,22.80%,42,14,11,5,5,1.43,0.48,0.17,0.37,13.20%,19723,14795,4772,156,672,17.90%,0.34,45.50%,,1,0,0,0,1375,33,1289,1,0,8562,8562,5079,0,11386,0,2,79,19417,77,6,29,0,477,
1,G2,Bard,Labrov,SUPPORT,13,2,2,15,24,0,,0.8,9119,311,13.70%,134,56,17,14,18,4.56,1.91,0.48,0.58,42.30%,11895,4748,6487,660,405,10.80%,0.58,77.30%,,0,0,0,0,-196,-7,775,1,0,2328,2328,7955,3540,12422,1757,52,201,16392,41,20,38,0,0,
