Player,Team,Role,Games,Win rate,KDA,Avg kills,Avg deaths,Avg assists,CSM,GPM,KP%,DMG%,Gold%,VS%,DPM,VSPM,Avg WPM,Avg WCPM,Avg VWPM,GD@15,CSD@15,XPD@15,FB %,FB Victim,Penta Kills,Solo Kills
Diable,BFX,BOT,33,54.50%,3.5,5.2,3.1,5.5,10.2,510,65.60%,27.10%,25.70%,14.10%,825,1.39,0.49,0.37,0.15,200,4,111,27.30%,15.20%,0,-
Vicla,BFX,MID,33,54.50%,3.4,3.9,3,6.3,9.3,420,62%,25%,21.20%,12.40%,748,1.23,0.46,0.23,0.15,91,0,128,27.30%,21.20%,0,12
Clear,BFX,TOP,33,54.50%,2.5,2.4,3.2,5.4,8.6,385,49.20%,22.30%,19.50%,13.90%,660,1.37,0.5,0.16,0.14,-195,-4,-25,0%,3%,0,7
Raptor,BFX,JGL,33,54.50%,3.6,3.5,3.3,8.2,6.6,395,75%,17.60%,20%,18.50%,521,1.81,0.36,0.4,0.31,-7,-4,-140,39.40%,3%,0,10
Kellin,BFX,SUP,33,54.50%,4.2,1,2.9,11.1,1,270,73%,8.10%,13.70%,41.20%,244,4.04,2.11,0.45,0.5,48,-2,17,27.30%,6.10%,0,1
Knight,BLG,MID,25,60%,5.8,5.4,2.1,6.9,9.3,454,70.70%,27.70%,22.20%,12.30%,824,1.28,0.36,0.29,0.1,254,-,-,-,-,-,-
Viper,BLG,BOT,25,60%,5.3,5,2.2,6.8,10.1,501,66.20%,26.40%,24.60%,15.40%,784,1.6,0.63,0.38,0.27,111,-,-,-,-,-,-
Bin,BLG,TOP,25,60%,3.3,2.7,2.5,5.5,9.2,402,45.80%,21.20%,19.80%,11.80%,613,1.22,0.4,0.15,0.12,257,-,-,-,-,-,-
XUN,BLG,JGL,25,60%,3.7,3.8,3.2,8.3,7.1,404,69.70%,17.60%,19.90%,16.90%,513,1.77,0.32,0.35,0.24,-217,-,-,-,-,-,-
ON,BLG,SUP,25,60%,3.7,0.6,3.5,12.2,1.1,275,72.80%,7.20%,13.50%,43.70%,213,4.54,2.28,0.52,0.64,123,-,-,-,-,-,-
Caps,G2,MID,11,54.50%,4.6,4.1,2.5,7.5,9.1,421,78.80%,28.40%,21.40%,11.40%,776,1.19,0.37,0.23,0.14,531,17,612,9.10%,9.10%,0,3
Hans Sama,G2,BOT,11,54.50%,5,4.7,1.9,4.8,10.3,511,59.20%,26.80%,25.80%,14.30%,737,1.47,0.43,0.35,0.12,-2,-7,-229,9.10%,27.30%,0,-
Brokenblade,G2,TOP,11,54.50%,3.3,1.5,2.1,5.5,8.6,374,48.30%,19.60%,19%,15.10%,521,1.55,0.5,0.19,0.17,36,2,36,0%,9.10%,0,-
SkewMond,G2,JGL,11,54.50%,5.1,3.7,2.3,7.8,7.5,412,77.10%,17.80%,20.70%,20.80%,484,2.14,0.38,0.47,0.28,615,16,867,27.30%,0%,0,2
Labrov,G2,SUP,11,54.50%,2.9,0.5,3.8,10.5,1,260,75.50%,7.40%,13.20%,38.40%,213,3.95,1.82,0.41,0.38,158,-1,32,18.20%,27.30%,0,-
Ruler,GEN,BOT,22,90.90%,6.3,6.2,2,6.7,10.5,545,65.60%,26.50%,25.30%,14.10%,880,1.52,0.45,0.42,0.21,224,6,166,31.80%,13.60%,1,6
Kiin,GEN,TOP,22,90.90%,7,3.8,1.6,7.7,8.8,440,60.10%,24.10%,20.40%,14.10%,800,1.51,0.54,0.19,0.15,368,5,240,0%,4.50%,1,8
Chovy,GEN,MID,22,90.90%,7.1,4.5,1.7,7.5,9.9,457,61.10%,23.90%,21.20%,14.30%,799,1.55,0.51,0.33,0.12,433,7,313,18.20%,4.50%,0,11
Canyon,GEN,JGL,22,90.90%,6.9,4.3,2,9.7,7.6,432,71.60%,17.50%,20%,18.20%,580,1.95,0.44,0.39,0.34,149,1,68,31.80%,9.10%,0,4
Duro,GEN,SUP,22,90.90%,6.2,0.9,2.4,14,0.9,283,75.40%,7.90%,13.10%,39.30%,262,4.24,1.92,0.48,0.42,80,-6,-46,36.40%,18.20%,0,-
Hiro02,TSW,TOP,1,100%,5,4,2,6,7.8,412,37%,27.90%,19.10%,14.70%,903,1.75,0.42,0.27,0.24,931,31,919,0%,0%,0,-
Eddie,TSW,BOT,16,81.30%,6.9,6.5,1.7,5.1,10.2,559,57.80%,28%,26.30%,13.10%,829,1.42,0.48,0.34,0.18,379,1,69,12.50%,0%,0,3
Dire,TSW,MID,16,81.30%,6.2,5.9,2.1,6.9,9.5,449,67%,24.10%,21.10%,10.30%,715,1.12,0.38,0.2,0.15,-227,-6,-171,37.50%,6.30%,1,10
Pun,TSW,TOP,15,80%,4,2.9,2.9,8.4,8,397,62.80%,23.80%,18.70%,12.10%,702,1.31,0.47,0.15,0.19,264,1,53,40%,20%,0,9
Hizto,TSW,JGL,16,81.30%,6,2.9,2.2,10.3,7.9,427,69.40%,16.20%,20.10%,17.90%,481,1.93,0.5,0.31,0.36,280,9,470,25%,6.30%,0,1
Bie,TSW,SUP,16,81.30%,7.1,1,1.8,11.9,1.4,291,66.30%,7.60%,13.70%,46.40%,225,5.02,2.15,0.76,0.37,93,-1,7,18.80%,6.30%,0,-
